Acteur,averageRating
River Phoenix,7.55
Hugh Bonneville,7.55
Peter Coyote,7.55
Charlton Heston,7.55
Julie Kavner,7.55
Joe Pesci,7.539999999999999
Martin Landau,7.533333333333334
Choi Min-sik,7.533333333333334
Rod Taylor,7.533333333333334
Ziyi Zhang,7.525
F. Murray Abraham,7.5200000000000005
Alan Rickman,7.5200000000000005
Hanaa Bouchaib,7.5
Adam Bryant,7.5
Diane Cilento,7.5
Ethel Merman,7.5
Valeriia Karaman,7.5
Vicky Haughton,7.5
Erica Carlson,7.5
Haley Ramm,7.5
Emory Cohen,7.5
Armand Verdure,7.5
Annie Girardot,7.5
Harvey Stephens,7.5
GÃ©za RÃ¶hrig,7.5
Iben Hjejle,7.5
Henry Goodman,7.5
Henry Silva,7.5
Henry Thomas,7.5
Annie Rose Buckley,7.5
Harry Connick Jr.,7.5
Jang-Lee Hwang,7.5
Diana PeÃ±alver,7.5
Jacqueline Poelvoorde-Pappaert,7.5
Elizabeth PeÃ±a,7.5
Elizabeth Moody,7.5
Fionnula Flanagan,7.5
Adam O'Brian,7.5
Tyrin Turner,7.5
Tom Schilling,7.5
Ellen Sandweiss,7.5
Tyler Labine,7.5
Jakob Cedergren,7.5
Elliott Gould,7.5
Gustaf SkarsgÃ¥rd,7.5
Urs Rechn,7.5
Elyas M'Barek,7.5
Edwin Neal,7.5
Edward Woodward,7.5
George Chakiris,7.5
Eduardo Noriega,7.5
Giuseppe Sulfaro,7.5
Vincent Gallo,7.5
Isabelle Huppert,7.5
Todd Louiso,7.5
Susan George,7.5
Emma Berman,7.5
Rebecka Liljeberg,7.5
Sophie NÃ©lisse,7.5
Ralph Bellamy,7.5
Marilyn Burns,7.5
Maricel Ãlvarez,7.5
Marianna Hill,7.5
Bo Burnham,7.5
Marcus Gilbert,7.5
Rawiri Paratene,7.5
Stephen Chow,7.5
Mahershala Ali,7.5
Ray Walston,7.5
Lucy Russell,7.5
Luciano Federico,7.5
Steve Danielsen,7.5
Asier Etxeandia,7.5
PÃ¡draic Delaney,7.5
Christopher Eccleston,7.5
Xiaoming Huang,7.5
Liam Cunningham,7.5
Lewis MacDougall,7.5
Levente MolnÃ¡r,7.5
Riccardo Scamarcio,7.5
Lesley Manville,7.5
Leonardo Sbaraglia,7.5
Stuart Graham,7.5
Lee Remick,7.5
Alex Haw,7.5
Claudine Longet,7.5
Wotan Wilke MÃ¶hring,7.5
Richard Beymer,7.5
Yeong-cheol Kim,7.5
Zendaya,7.5
Laine Megaw,7.5
Shin Min-a,7.5
Oskar Werner,7.5
Omar Shargawi,7.5
Brian O'Halloran,7.5
Nouhe Hamady Bari,7.5
Noah Taylor,7.5
Brian Milligan,7.5
Paul Rhys,7.5
Nelly Pappaert,7.5
Brian Geraghty,7.5
Nathan West,7.5
Natalie Wood,7.5
Natalia Borisova,7.5
Paul Walter Hauser,7.5
Yui Natsukawa,7.5
Moritz Bleibtreu,7.5
Yeri Han,7.5
Allen Danziger,7.5
Alexandra DahlstrÃ¶m,7.5
Milton Berle,7.5
Brandon Stanley,7.5
Mikkel Boe FÃ¸lsgaard,7.5
Mickey Sumner,7.5
Michael Stuhlbarg,7.5
Michael Ironside,7.5
Peter Vaughan,7.5
Michael Badalucco,7.5
Yoo Ah-in,7.5
Melanie Vallejo,7.5
Charles Berling,7.5
Siu-Tin Yuen,7.5
Laura Harrier,7.5
Strother Martin,7.5
Aleksey Serebryakov,7.5
Ke Huy Quan,7.5
Tamio Ã”ki,7.5
Ben Gazzara,7.5
Katrina Bowden,7.5
Kate Capshaw,7.5
Jeremy Theobald,7.5
Jung-min Hwang,7.5
Timothy Balme,7.5
June Kyoto Lu,7.5
Jessica Dinnage,7.5
Jun Kunimura,7.5
Saadna Hamoud,7.5
Julie Harris,7.5
Tim Blake Nelson,7.5
Kwak Do-won,7.5
BenoÃ®t Magimel,7.5
Judith Vittet,7.5
Joe Belcher,7.5
Daniel Emilfork,7.5
Romane Bohringer,7.5
Terence Stamp,7.5
Teri Garr,7.5
Albert Brooks,7.5
Terry Gilliam,7.5
Alan S. Kim,7.5
Jeon Jong-seo,7.5
Sammo Kam-Bo Hung,7.5
Rob Morrow,7.5
David Roper,7.5
Richard DeManincor,7.5
David Naughton,7.5
AndrÃ© Dussollier,7.5
SynnÃ¸ve Macody Lund,7.5
T.R. Knight,7.5
Kimberly Elise,7.5
Kieran Culkin,7.5
Taika Waititi,7.5
Richard Johnson,7.5
Robert Prosky,7.5
Keisha Castle-Hughes,7.5
Jeff Anderson,7.5
Robert Forster,7.5
Sarah Snook,7.5
Paresh Rawal,7.4799999999999995
Karen Allen,7.475
Ernest Borgnine,7.475
Christopher Lloyd,7.471428571428571
Gene Wilder,7.466666666666666
Steven Yeun,7.466666666666666
Brooke Adams,7.466666666666666
Paul Newman,7.459999999999999
J.T. Walsh,7.45
Mary Stuart Masterson,7.45
Nanako Matsushima,7.45
John David Washington,7.45
Harry Dean Stanton,7.449999999999999
Fionn Whitehead,7.449999999999999
Orlando Bloom,7.442857142857143
Ezra Miller,7.433333333333334
Phil Harris,7.433333333333333
Rutger Hauer,7.433333333333333
J.K. Simmons,7.428571428571429
Joan Allen,7.425000000000001
Sam Shepard,7.425
Paul Dano,7.42
Dianne Wiest,7.416666666666667
Peter Sallis,7.4
Peter Simonischek,7.4
Felicity Huffman,7.4
Fengyi Zhang,7.4
Paul Le Mat,7.4
Federico Luppi,7.4
Faye Wong,7.4
Fernando Cayo,7.4
Sean Gullette,7.4
Albert Dupontel,7.4
Sandra HÃ¼ller,7.4
Ferran Terraza,7.4
Robert Vaughn,7.4
Gabriel Damon,7.4
Ray McAnally,7.4
Anushka Sharma,7.4
Sean Hayes,7.4
Rod Culbertson,7.4
Adam Levine,7.4
Quim GutiÃ©rrez,7.4
Flavio Bucci,7.4
Eugene Hutz,7.4
Sebastian Cabot,7.4
Roger PrÃ­ncep,7.4
RyÃ´ko Hirosue,7.4
Ron Howard,7.4
Ron Moody,7.4
Peter Capaldi,7.4
Fele MartÃ­nez,7.4
Javier GutiÃ©rrez,7.4
Alfie Allen,7.4
Kelly Marie Tran,7.4
Jack Nance,7.4
Jack Dylan Grazer,7.4
Tami Stronach,7.4
Tommy Davidson,7.4
Tamara Tunie,7.4
Toni Servillo,7.4
Kim Bodnia,7.4
Sunny Suljic,7.4
Andrew Simpson,7.4
Adriana Ugarte,7.4
Imogene Coca,7.4
Laura DrasbÃ¦k,7.4
Emily Robinson,7.4
Laurie Metcalf,7.4
Jacob Lofland,7.4
Julia Fox,7.4
Jacqueline Bisset,7.4
Judith Barsi,7.4
Jorge-Yamam Serrano,7.4
Angourie Rice,7.4
James Fleet,7.4
Jonathan Groff,7.4
Tom Hollander,7.4
Jon Finch,7.4
Johanna Wokalek,7.4
Joel Fry,7.4
Jessica Harper,7.4
Tippi Hedren,7.4
Tom Courtenay,7.4
Toby Froud,7.4
Tom Costello,7.4
Laurie Zimmer,7.4
Lesley Nicol,7.4
Oona Laurence,7.4
Gerry Becker,7.4
Michael Fox,7.4
Michael Wittenborn,7.4
Aki Maeda,7.4
Millicent Simmonds,7.4
Glen Campbell,7.4
Allen Joseph,7.4
Neel Sethi,7.4
Linda May,7.4
Nellie,7.4
Nicholas Clay,7.4
Nigel Terry,7.4
Noah Hathaway,7.4
Shari Springer Berman,7.4
Shani Wallis,7.4
Max Pomeranc,7.4
MarÃ­a Soledad RodrÃ­guez,7.4
Agata Trzebuchowska,7.4
Todd Field,7.4
Martina GarcÃ­a,7.4
Mark Margolis,7.4
Mark Lester,7.4
Mark Lee,7.4
Marisol Nichols,7.4
Harvey Pekar,7.4
Amy Irving,7.4
Stefania Casini,7.4
Amy Ryan,7.4
Luis Tosar,7.4
Ana Torrent,7.4
Lotte Lenya,7.4
Liz Giles,7.4
Agata Kulesza,7.4
Barbara Leigh-Hunt,7.4
Cristin Milioti,7.4
Dawid Ogrodnik,7.4
Brian Dennehy,7.4
Daniel Day-Lewis,7.4
David Bowie,7.4
Will Poulter,7.4
Austin Stoker,7.4
Benny Safdie,7.4
Chris O'Dowd,7.4
Chris Noth,7.4
Cliff Robertson,7.4
Billy Boyd,7.4
Ben Shenkman,7.4
Wilford Brimley,7.4
Elsie Fisher,7.4
Charlotte Stewart,7.4
Darwin Joston,7.4
Chino DarÃ­n,7.4
Bill Kerr,7.4
David Brisbin,7.4
Eartha Kitt,7.4
Bob Odenkirk,7.4
Barret Oliver,7.4
Billy West,7.4
Craig Parkinson,7.4
Boris Lyoskin,7.4
Zlatko Buric,7.4
Vincent Miller,7.4
Barry Bostwick,7.4
Barry Foster,7.4
Kevin Spacey,7.38
Tom Holland,7.38
Ulrich Thomsen,7.366666666666667
Michael Gambon,7.366666666666667
Morena Baccarin,7.366666666666667
Jon Bernthal,7.366666666666667
Anne Bancroft,7.366666666666667
Emmanuelle Seigner,7.366666666666667
Sean Young,7.366666666666667
Clint Eastwood,7.366666666666667
Dev Patel,7.366666666666666
Philip Seymour Hoffman,7.357142857142857
Sophie Marceau,7.3500000000000005
Shelley Winters,7.35
Yul Brynner,7.35
Glenne Headly,7.35
BD Wong,7.35
Topol,7.35
Dick Van Dyke,7.35
Johan Heldenbergh,7.35
Alan Alda,7.35
Mary Kay Bergman,7.35
Andrew Robinson,7.35
Sela Ward,7.35
Omar Sharif,7.35
Roberto Benigni,7.35
Nick Robinson,7.35
Jack Nicholson,7.335294117647059
Rosanna Arquette,7.333333333333333
Patrick Fugit,7.333333333333333
Julie Walters,7.333333333333333
Brendan Gleeson,7.333333333333333
Ben Whishaw,7.333333333333333
JÃ¼rgen Prochnow,7.333333333333333
Albert Finney,7.328571428571428
Madeleine Stowe,7.325
Cuba Gooding Jr.,7.325
Bruce Campbell,7.32
James Caan,7.316666666666666
Nick Frost,7.316666666666666
Laura Dern,7.316666666666666
Tyler Hoechlin,7.300000000000001
Billy Crudup,7.300000000000001
Stephen Campbell Moore,7.300000000000001
Audrey Tautou,7.3
Brian Blessed,7.3
Paul Schneider,7.3
Judith GodrÃ¨che,7.3
Hoyt Axton,7.3
Clara Wettergren,7.3
Patrick Fontana,7.3
Tony Kgoroge,7.3
Levy Easterly,7.3
Shane West,7.3
Anne Parillaud,7.3
Daniel GimÃ©nez Cacho,7.3
Owen Kline,7.3
Algee Smith,7.3
Imelda Staunton,7.3
Orson Welles,7.3
Bronte Carmichael,7.3
Omid Djalili,7.3
Ingrid Bergman,7.3
Omari Hardwick,7.3
Ione Skye,7.3
Christopher Mintz-Plasse,7.3
Linda Fiorentino,7.3
Irrfan Khan,7.3
Kerry Fox,7.3
J. Pat O'Malley,7.3
NoÃ«l Coward,7.3
Lisa Bonet,7.3
Heydon Prowse,7.3
Paz de la Huerta,7.3
Lisa Loven Kongsli,7.3
Corey Stoll,7.3
Craig Roberts,7.3
Billy Zane,7.3
Courtney Love,7.3
Trey Wilson,7.3
Ed O'Neill,7.3
Kierston Wareing,7.3
Tate Donovan,7.3
Dan Castellaneta,7.3
QuvenzhanÃ© Wallis,7.3
Guillaume Baillargeon,7.3
Willie Watson,7.3
Dwight Henry,7.3
Justin Fletcher,7.3
Pearl Bailey,7.3
Corey Haim,7.3
Kyliegh Curran,7.3
Clu Gulager,7.3
Seo-hyun Ahn,7.3
Peter Fonda,7.3
Heather O'Rourke,7.3
Daniel Auteuil,7.3
Susan Egan,7.3
Judy Davis,7.3
Heidi von Palleske,7.3
Lauren Holly,7.3
Don Calfa,7.3
Shawn Doyle,7.3
Shawn Driscoll,7.3
Jodie Comer,7.3
John Ashton,7.3
Mickey Rooney,7.3
Carrie Snodgress,7.3
Jay Thomas,7.3
David Niven,7.3
Manish Dayal,7.3
Sidney Poitier,7.3
John Doman,7.3
Catherine SalÃ©e,7.3
Simon Russell Beale,7.3
Marc Duret,7.3
Maurice BÃ©nichou,7.3
Jerry Adler,7.3
Matthew Rhys,7.3
Wei Zhao,7.3
Matt Smith,7.3
Johannes Kuhnke,7.3
Matt Jones,7.3
Matt Craven,7.3
Amara Miller,7.3
ChloÃ« Sevigny,7.3
Yat-Fei Wong,7.3
Marilyn Sokol,7.3
Marius Weyers,7.3
Joe Anderson,7.3
Tia Carrere,7.3
Joanne Whalley,7.3
Adeel Akhtar,7.3
Milly Shapiro,7.3
Shea Whigham,7.3
Nancy Cartwright,7.3
Christopher Fitzgerald,7.3
Jonathan Banks,7.3
Tom. T. Tran,7.3
Lorraine Bracco,7.3
Jon Daly,7.3
Luenell,7.3
Dennis Dun,7.3
Nathaniel Brown,7.3
Stephen Rea,7.3
John Sparkes,7.3
James Frecheville,7.3
James Karen,7.3
N!xau,7.3
Warwick Davis,7.3
Alison Sudol,7.3
John Mahoney,7.3
MÃ¤dchen Amick,7.3
Ken Davitian,7.3
Denholm Elliott,7.3
Chris Sanders,7.3
Madison Wolfe,7.3
Will Adamsdale,7.3
Mo'Nique,7.3
Kate Maberly,7.3
Miou-Miou,7.3
Minnie Driver,7.3
Michael Moriarty,7.3
Katie Jarvis,7.3
Roddy Piper,7.3
Sandra Prinsloo,7.3
Rick Gonzalez,7.3
Eileen Brennan,7.3
Gabourey Sidibe,7.3
Barbara Hershey,7.3
Romain Duris,7.3
Benny Hill,7.3
Elizabeth Perkins,7.3
Rosa Salazar,7.3
Sarah Peirse,7.3
Robert Ri'chard,7.3
Betty Lou Gerson,7.3
Robert Stack,7.3
Fred Ward,7.3
GeneviÃ¨ve Bujold,7.3
Rob Brown,7.3
Finn Wolfhard,7.3
Cyril Roy,7.3
Fabrizio Rongione,7.3
Rodney Dangerfield,7.3
Gael GarcÃ­a Bernal,7.290000000000001
Domhnall Gleeson,7.285714285714286
Christian Bale,7.285185185185185
Tom Hardy,7.2846153846153845
Emily Watson,7.275
Catherine O'Hara,7.275
Craig T. Nelson,7.275
Evan Rachel Wood,7.275
Christopher Plummer,7.2727272727272725
Rami Malek,7.266666666666667
Thora Birch,7.266666666666667
Riz Ahmed,7.266666666666667
David Morse,7.266666666666667
Haley Lu Richardson,7.266666666666667
Mark Rylance,7.266666666666667
Ed Harris,7.25625
unknown,7.254545454545454
Robert Downey Jr.,7.254166666666666
Geoffrey Rush,7.253846153846154
Dustin Hoffman,7.252631578947369
Julia Louis-Dreyfus,7.25
Chi McBride,7.25
David Wenham,7.25
Lena Endre,7.25
Danny Aiello,7.25
Kim Darby,7.25
LÃ©a Seydoux,7.25
Shah Rukh Khan,7.246153846153846
Carrie-Anne Moss,7.242857142857142
Scott Glenn,7.24
Michael Caine,7.235294117647059
Angela Bassett,7.233333333333333
Djimon Hounsou,7.233333333333333
Florence Pugh,7.233333333333333
Olivia Williams,7.233333333333333
Iko Uwais,7.233333333333333
Christopher Lee,7.233333333333333
Tadanobu Asano,7.233333333333333
Brad Pitt,7.231428571428571
Sally Hawkins,7.225
Holly Hunter,7.225
Kate Winslet,7.225
Armin Mueller-Stahl,7.225
Woody Allen,7.221428571428571
Chris Cooper,7.220000000000001
Tom Skerritt,7.216666666666666
Beverly D'Angelo,7.216666666666666
Andrew Garfield,7.2124999999999995
Robert Duvall,7.208333333333333
Al Pacino,7.204
Hilary Mason,7.2
Alberto San Juan,7.2
Mackenzie Brooke Smith,7.2
Chizuru Ikewaki,7.2
Joel Murray,7.2
Ian Charleson,7.2
Tony Revolori,7.2
Ben Cross,7.2
Lim Soo-jung,7.2
Jay Mohr,7.2
Michele Valley,7.2
Claire Bloom,7.2
Claes Bang,7.2
Scott Shepherd,7.2
David Proval,7.2
Brian Caspe,7.2
Ava Cooper,7.2
Casper Van Dien,7.2
Holt McCallany,7.2
ShÃ´tarÃ´ Morikubo,7.2
Christos Stergioglou,7.2
John Beck,7.2
LluÃ­s Homar,7.2
John Carroll Lynch,7.2
Bernadette Peters,7.2
Nicholas Farrell,7.2
Ryo Ishibashi,7.2
Nicholas Brendon,7.2
Molly Ringwald,7.2
Val Bettin,7.2
Dennis Haysbert,7.2
BÃ¡rbara Goenaga,7.2
Tetsu Sawaki,7.2
Christian Cooke,7.2
Barbara Crampton,7.2
Stephen McKinley Henderson,7.2
Miyavi,7.2
Candela FernÃ¡ndez,7.2
Austin Nichols,7.2
Ethan Suplee,7.2
Natalie Mendoza,7.2
Denise Richards,7.2
Tara Lynne Barr,7.2
Frank Oz,7.2
Tom Payne,7.2
Bernard Lee,7.2
Karl Swenson,7.2
Nick Offerman,7.2
Lucy Gutteridge,7.2
Anders Baasmo Christiansen,7.2
Olivia Hussey,7.2
Paddy Considine,7.2
Idina Menzel,7.2
Tom Arnold,7.2
Christopher Fairbank,7.2
Miki Nakatani,7.2
Daniel Studi,7.2
Yoshihiko Hakamada,7.2
Peggy Lipton,7.2
Bruce Abbott,7.2
Olivia Newton-John,7.2
Ursula Andress,7.2
Maia Morgenstern,7.2
Tom Fisher,7.2
YÃ»ko Takeuchi,7.2
Debbie Harry,7.2
Elias McConnell,7.2
Louis Garrel,7.2
Tom Glynn-Carney,7.2
Malcolm Sinclair,7.2
Mitchell Ryan,7.2
Bryan Larkin,7.2
Nicole de Boer,7.2
Michael Nyqvist,7.2
Leonor Watling,7.2
David Bradley,7.2
Amadu Mamadakov,7.2
Karra Elejalde,7.2
Philip Baker Hall,7.2
Joaquim de Almeida,7.2
Jung-ah Yum,7.2
Timothy Spall,7.2
Dave Foley,7.2
Craig Sheffer,7.2
Kiersey Clemons,7.2
Elle Russ,7.2
Maurice Dean Wint,7.2
Jim Henson,7.2
Blanca Portillo,7.2
Cole Sprouse,7.2
Powers Boothe,7.2
Kaitlyn Dever,7.2
David Hewlett,7.2
Julie Carmen,7.2
Simon Lyndon,7.2
Jessica Barden,7.2
Adam Bousdoukos,7.2
PÃ¥l Sverre Hagen,7.2
Sarah Wright,7.2
Beanie Feldstein,7.2
Sam Reid,7.2
Jeremy Irvine,7.2
Rickie Sorensen,7.2
Maury Sterling,7.2
Ayumi ItÃ´,7.2
GÃ¡bor Czap,7.2
Raymond J. Barry,7.2
Khulan Chuluun,7.2
Catlin Adams,7.2
Marta Etura,7.2
Vince Colosimo,7.2
Eihi Shiina,7.2
Kim Kap-su,7.2
Justin Theroux,7.2
Richard Armitage,7.2
Takahiro Sakurai,7.2
Alex Reid,7.2
Pheline Roggan,7.2
Cyril Cusack,7.2
Scott Wolf,7.2
Charlotte Rampling,7.2
Jeffery Rifflard,7.2
Petchtai Wongkamlao,7.2
Bill Hunter,7.2
Barrie Ingham,7.2
Eric Deulen,7.2
Peter Cushing,7.2
Kathryn Mullen,7.2
Harry Guardino,7.2
Corbin Bernsen,7.2
Damijan Oklopdzic,7.2
Sonja Smits,7.2
Vincent Price,7.2
Sean Harris,7.2
Rachel Griffiths,7.2
Jessica Williams,7.2
Angeliki Papoulia,7.2
Emily Baldoni,7.2
Pumwaree Yodkamol,7.2
Gretchen Mol,7.199999999999999
Isabela Merced,7.199999999999999
Om Puri,7.199999999999999
Mark Ruffalo,7.199999999999999
Bill SkarsgÃ¥rd,7.199999999999999
Sondra Locke,7.199999999999999
Eddie Marsan,7.199999999999999
Jaye Davidson,7.199999999999999
Carey Mulligan,7.191666666666666
Joseph Gordon-Levitt,7.1866666666666665
Diane Kruger,7.185714285714285
Sean Penn,7.18235294117647
Andy Serkis,7.18
Bryan Cranston,7.177777777777777
Frances McDormand,7.176923076923076
Martin Freeman,7.175
Joe Pantoliano,7.175
Javier Bardem,7.175
Jennifer Jason Leigh,7.172727272727273
Annette Bening,7.171428571428572
Jeffrey Tambor,7.166666666666667
Rashida Jones,7.166666666666667
George Kennedy,7.166666666666667
Zoe Kazan,7.166666666666667
Kelly Reilly,7.166666666666667
Jonny Lee Miller,7.166666666666667
Jason Schwartzman,7.166666666666667
Ansel Elgort,7.166666666666667
Tilda Swinton,7.166666666666667
Mads Mikkelsen,7.1625
Edward Norton,7.161904761904762
Tom Hanks,7.160465116279069
Michael Madsen,7.159999999999999
Viggo Mortensen,7.1571428571428575
Ryan Gosling,7.155555555555556
Toni Collette,7.154545454545455
Joaquin Phoenix,7.152631578947369
Elizabeth Debicki,7.15
Dan Hedaya,7.15
Telly Savalas,7.15
Thomas Mann,7.15
Shannen Doherty,7.15
Darren McGavin,7.15
Colm Meaney,7.15
Bobby Cannavale,7.15
Jeremy Davies,7.15
Pablo Schreiber,7.15
Emilie de Ravin,7.15
Moises Arias,7.15
John Lone,7.15
Jason Flemyng,7.1499999999999995
Cathy Moriarty,7.1499999999999995
Roy Scheider,7.140000000000001
Stellan SkarsgÃ¥rd,7.140000000000001
Jeff Bridges,7.138888888888889
Heath Ledger,7.136363636363637
Ethan Hawke,7.134782608695652
Matt Stone,7.133333333333333
O'Shea Jackson Jr.,7.133333333333333
Jared Harris,7.133333333333333
Joseph Fiennes,7.133333333333333
Valeria Golino,7.133333333333333
Mary Elizabeth Mastrantonio,7.133333333333333
Pete Postlethwaite,7.133333333333333
Sebastian Koch,7.133333333333333
Ben Kingsley,7.130769230769231
Allison Janney,7.125
Jake Gyllenhaal,7.120833333333334
Jacob Tremblay,7.12
Chiwetel Ejiofor,7.12
Ron Livingston,7.12
Sissy Spacek,7.116666666666667
Robert Redford,7.113333333333333
Bill Murray,7.110526315789474
Jeremy Renner,7.109090909090909
Jodie Foster,7.107142857142857
Tim Robbins,7.107142857142857
Emma Watson,7.1066666666666665
John Hawkes,7.1000000000000005
Vincent Cassel,7.1000000000000005
Nathan Fillion,7.1000000000000005
Brie Larson,7.1000000000000005
Jeremy London,7.1
William Ragsdale,7.1
ZoÃ© FÃ©lix,7.1
MylÃ¨ne JampanoÃ¯,7.1
Mary McCormack,7.1
Stephan James,7.1
Catherine McCormack,7.1
Sari Lennick,7.1
Thomas M. Wright,7.1
Denis Lavant,7.1
David Ogden Stiers,7.1
Thomas M. KÃ¶ppl,7.1
Adarsh Gourav,7.1
Victor Rasuk,7.1
Rodger Bumpass,7.1
Catherine BÃ©gin,7.1
Martin Henderson,7.1
Macon Blair,7.1
Maura Tierney,7.1
Marc-Marvin Israel,7.1
Amy Hargreaves,7.1
Simon Pegg,7.1
Dany Boon,7.1
Michelle Ryan,7.1
David Wiberg,7.1
Finn Carter,7.1
Jin Zhang,7.1
Frank Acciarito,7.1
Chris Klein,7.1
BenoÃ®t Poelvoorde,7.1
Welker White,7.1
Amanda Bearse,7.1
Mike White,7.1
Florian Lukas,7.1
Merab Ninidze,7.1
Janel Parrish,7.1
Morjana Alaoui,7.1
Anika Noni Rose,7.1
Ruth Wilson,7.1
Martin Gabel,7.1
Stephen Lang,7.1
Tony D'Amario,7.1
Peter Dobson,7.1
Eric Dane,7.1
Lauren Tempany,7.1
Hee-jin Choi,7.1
William Atherton,7.1
Pete Davidson,7.1
Vincent Spano,7.1
Don Harvey,7.1
Laurent Lafitte,7.1
Leigh Taylor-Young,7.1
HervÃ© Sogne,7.1
Leo Fitzpatrick,7.1
Brian McElroy,7.1
Ang Phula Sherpa,7.1
Paul Bates,7.1
Dolly Wells,7.1
Joseph Pilato,7.1
Garcelle Beauvais,7.1
Hugo Weaving,7.1
Bel Powley,7.1
Xing Jin,7.1
Kelly Adams,7.1
Park Hae-il,7.1
Eli Goree,7.1
Gabriela Oltean,7.1
Robert Gustafsson,7.1
Ananda Everingham,7.1
Ricky Velez,7.1
Peter Meadows,7.1
Larry David,7.1
Kim Ok-bin,7.1
Kevin Conroy,7.1
Edward G. Robinson,7.1
Eminem,7.1
Edith Scob,7.1
Sean Biggerstaff,7.1
Cynthia Erivo,7.1
Richard Kind,7.1
Trini Alvarado,7.1
Blake Jenner,7.1
Kad Merad,7.1
Andy Garcia,7.1
Emmanuelle BÃ©art,7.1
AndrÃ© Vippolis,7.1
Harriet Dyer,7.1
Gregg Henry,7.1
Raad Rawi,7.1
Richard McCabe,7.1
Suzanna Hamilton,7.1
Gemma Chan,7.1
Douglas M. Griffin,7.1
Hadley Belle Miller,7.1
Angie Dickinson,7.1
Lana Condor,7.1
Curd JÃ¼rgens,7.1
Antonio Tarver,7.1
Philip Bosco,7.1
Anne Consigny,7.1
Summer Phoenix,7.1
Devin Ratray,7.1
John Tormey,7.1
Vanessa Kirby,7.1
Oliver Masucci,7.1
Alice Lowe,7.1
Steve Lantz,7.1
Natthaweeranuch Thongmee,7.1
Noah Schnapp,7.1
Iwar Wiklander,7.1
Emilia Jones,7.1
John Wood,7.1
Lynn Xiong,7.1
Ana de Armas,7.1
Noah Centineo,7.1
Barbara Bach,7.1
Vilhelm Blomgren,7.1
Caitlyn Rund,7.1
Achita Sikamana,7.1
Luing Andrews,7.1
Byun Hee-Bong,7.1
Robert Wagner,7.1
ValÃ©rie Bodson,7.1
Terry Alexander,7.1
Lori Cardille,7.1
Kelly Macdonald,7.1
Emilia Fox,7.1
Sterling Holloway,7.1
Oliver Jackson-Cohen,7.1
Denzel Washington,7.084375
John Hurt,7.083333333333333
Nick Nolte,7.083333333333333
Zachary Quinto,7.08
Jonathan Pryce,7.08
Marisa Tomei,7.08
Ben Foster,7.075
Jack O'Connell,7.075
David Carradine,7.075
Bruce Dern,7.075
Jared Leto,7.071428571428571
Helen Hunt,7.071428571428571
